Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
asp;Csökmő;Hajdú-Bihar;"	Berettyóújfalui";;;;;;;https://csokmo.asp.lgov.hu/nyilvantartasok
asp;Csököly;Somogy;Kaposvári;;;;;;;https://csokoly.asp.lgov.hu/nyilvantartasok
oknyir;Csömör;Pest;Gödöllői;22;I;;;2022.11.10;2022.11.30;
asp;Dág;Komárom-Esztergom;Esztergomi;7;I;;;2024.11.04;2025.04.23;https://dag.asp.lgov.hu/nyilvantartasok
asp;Dánszentmiklós;Pest;Ceglédi;;;;;;;https://danszentmiklos.asp.lgov.hu/nyilvantartasok
asp;Dány;Pest;Gödöllői;;;;;;;https://dany.asp.lgov.hu/nyilvantartasok
asp;Dávod;Bács-Kiskun;Bajai;;;;;;;https://davod.asp.lgov.hu/nyilvantartasok
asp;Debrecen;Hajdú-Bihar;Debreceni;5845;I;;;2025.04.23;2025.04.23;https://debrecen.asp.lgov.hu/
asp;Diósd;Pest;Érdi;320;I;236;;2025.04.10;2025.04.23;https://diosd.asp.lgov.hu/nyilvantartasok
asp;Doboz;Békés;Békéscsabai;;;;;;;https://doboz.asp.lgov.hu/nyilvantartasok
asp;Dombegyház;Békés;Mezőkovácsházai;;;;;;;https://dombegyhaz.asp.lgov.hu/nyilvantartasok
asp;Dombóvár;Tolna;Dombóvári;660;I;36;;2025.04.10;2025.04.23;https://dombovar.asp.lgov.hu/nyilvantartasok
oknyir;Dorog;Komárom-Esztergom;Esztergomi;240;I;;;2022.11.23;2022.11.30;
asp inaktív;Dorogháza;Nógrád;Bátonyterenyei;;;;;;2022.04.05;https://doroghaza.asp.lgov.hu/nyilvantartasok
asp;Döbörhegy;Vas;Körmendi;;;;;;;https://doborhegy.asp.lgov.hu/nyilvantartasok
asp;Dömös;Komárom-Esztergom;Esztergomi;27;I;;;2025.04.14;2025.04.23;https://domos.asp.lgov.hu/nyilvantartasok
oknyir;Dörgicse;Veszprém;Balatonfüredi;;;;;2022.11.30;2022.11.30;
-;Dunaalmás;Komárom-Esztergom;Tatai;0;I;;;;;
oknyir;Dunabogdány;Pest;Szentendrei;45;I;;;2022.09.19;2022.12.01;
govcenter;Dunaföldvár;Tolna;Paksi;;;40;;2018.01.02;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=40
komdat;Dunaharaszti;Pest;Szigetszentmiklósi;2627;I;475;4e7b1b03-6bfc-49a7-9976-c2c7b9805627;2025.04.15;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=4e7b1b03-6bfc-49a7-9976-c2c7b9805627
komdat;Dunakeszi;Pest;Dunakeszi;2541;I;396;f9d012bd-28e3-4157-9f54-13c1c188c683;2025.04.17;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=f9d012bd-28e3-4157-9f54-13c1c188c683
asp;Dunakiliti;Győr-Moson-Sopron;Mosonmagyaróvári;;;;;;;https://dunakiliti.asp.lgov.hu/nyilvantartasok
komdat;Dunaszentgyörgy;Tolna;Paksi;;;;52072a94-a717-4e03-94ab-e184a12982f3;;;https://iparkerpublikalas.komdat.hu/?onkid=52072a94-a717-4e03-94ab-e184a12982f3
asp;Dunasziget;Győr-Moson-Sopron;Mosonmagyaróvári;;;;;;;https://dunasziget.asp.lgov.hu/nyilvantartasok
komdat;Dunaújváros;Fejér;Dunaújvárosi;6651;I;46;0b2340e9-4d3a-4286-b26a-bc5c1ff05819;2025.04.15;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=0b2340e9-4d3a-4286-b26a-bc5c1ff05819
govcenter;Eger;Heves;Egri;6820;I;223;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=223
asp;Egyházasgerge;Nógrád;Salgótarjáni;;;;;;;https://egyhazasgerge.asp.lgov.hu/nyilvantartasok
asp;Egyházasrádóc;Vas;Körmendi;;;;;;;https://egyhazasradoc.asp.lgov.hu/nyilvantartasok
asp;Elek;Békés;Gyulai;;;;;;;https://elek.asp.lgov.hu/nyilvantartasok
oknyir;Eplény;Veszprém;Veszprémi;4;I;;;2022.06.02;2022.12.01;
asp;Ercsi;Fejér;Martonvásári;134;I;;;2024.12.20;2025.04.23;https://ercsi.asp.lgov.hu/nyilvantartasok
govcenter;Érd;Pest;Érdi;4406;I;539;;2025.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=539
oknyir;Esztergom;Komárom-Esztergom;Esztergomi;134;I;;;2022.11.23;2022.12.01;
asp;Etes;Nógrád;Salgótarjáni;;;;;;;https://etes.asp.lgov.hu/nyilvantartasok
govcenter;Etyek;Fejér;Bicskei;;;57;;2018.02.06;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=57
asp;Felsőkelecsény;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://felsokelecseny.asp.lgov.hu/nyilvantartasok
asp inaktív;Felsőörs;Veszprém;Balatonalmádi;2;I;;;2022.10.13;2025.04.23;https://felsoors.asp.lgov.hu/nyilvantartasok
asp;Felsőpakony;Pest;Gyáli;;;;;;;https://felsopakony.asp.lgov.hu/nyilvantartasok
asp;Felsőszentiván;Bács-Kiskun;Bajai;;;;;;;https://felsoszentivan.asp.lgov.hu/nyilvantartasok
oknyir;Felsőtárkány;Heves;Egri;29;I;;;2022.10.17;2022.12.01;
asp;Földes;Hajdú-Bihar;Püspökladányi;;;;;;;https://foldes.asp.lgov.hu/nyilvantartasok
asp;Furta;Hajdú-Bihar;Berettyóújfalui;;;;;;;https://furta.asp.lgov.hu/nyilvantartasok
asp inaktív;Füle;Fejér;Székesfehérvári;24;I;;;2021.12.16;2025.04.23;https://.asp.lgov.hu/nyilvantartasok
asp;Fülöpjakab;Bács-Kiskun;Kecskeméti;;;;;;;https://fulopjakab.asp.lgov.hu/nyilvantartasok
komdat;Füzesabony;Heves;Füzesabonyi;;;;6a7ef3fe-62cd-4b55-a7bc-e3596fdea01f;;;https://iparkerpublikalas.komdat.hu/?onkid=6a7ef3fe-62cd-4b55-a7bc-e3596fdea01f
asp;Gadna;Borsod-Abaúj-Zemplén;Szikszói;;;;;;;https://gadna.asp.lgov.hu/nyilvantartasok
